trials,0,1,2,3,4,5,6,7,8,9
quadruped,0.414469569921,0.521316826344,0.40385094285,0.440481007099,0.442345052958,0.387851476669,0.463165730238,0.388079434633,0.365248739719,0.399286299944
branchbot,0.351814687252,0.32602006197,0.347392320633,0.223343208432,0.31969538331,0.386070162058,0.451236575842,0.297695338726,0.309732407331,0.417748659849
treebot,0.274471759796,0.242076784372,0.208841323853,0.212472438812,0.259228050709,0.216899305582,0.244324937463,0.194690972567,0.389215528965,0.336689651012
snakebot,0.420260429382,0.442130118608,0.444323211908,0.436193138361,0.421795576811,0.438963115215,0.377298086882,0.42516297102,0.39510923624,0.483388751745
tablebot,0.173057571054,0.33470121026,0.211831212044,0.370146483183,0.246169701219,0.192085921764,0.6875,0.135674208403,0.309854567051,0.378276616335
starfishbot,0.150417208672,0.281992256641,0.229080170393,0.293534606695,0.0720430985093,0.0884175524116,0.0696615949273,0.133634671569,0.123919136822,0.179460138083
spherebot,0.289611577988,0.350225925446,0.264561593533,0.351374089718,0.347684800625,0.317373543978,0.346257895231,0.505185723305,0.38125655055,0.324150562286
crabbot,0.253320813179,0.214688643813,0.41910636425,0.205340862274,0.247506782413,0.322491586208,0.255027800798,0.343157351017,0.340567141771,0.228802993894
