trials,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29
quadruped,0.507625877857,0.38610330224,0.467391848564,0.537143528461,0.433744341135,0.410387605429,0.293982207775,0.414647608995,0.439092844725,0.52080976963,0.340963095427,0.294061332941,0.362727969885,0.328566372395,0.380123645067,0.45246013999,0.43506115675,0.41683408618,0.468029558659,0.39431476593,0.448844373226,0.287950456142,0.500441670418,0.309340953827,0.39115101099,0.441876411438,0.372460514307,0.501215517521,0.452413320541,0.397780627012
branchbot,0.514539957047,0.426333874464,0.309159010649,0.270773231983,0.347769975662,0.33834695816,0.32557696104,0.324446260929,0.350818425417,0.362708330154,0.349986732006,0.289662688971,0.190052583814,0.40268522501,0.374334871769,0.230753973126,0.310727745295,0.391851216555,0.411858528852,0.388493925333,0.155473127961,0.3378238976,0.384219408035,0.528966367245,0.324940115213,0.281524002552,0.437348425388,0.857142865658,0.279128670692,0.381329536438
treebot,0.308315485716,0.385763823986,0.306352555752,0.252091497183,0.259476393461,0.185958266258,0.29158860445,0.280450373888,0.355116695166,0.237002924085,0.386445254087,0.282917678356,0.289803534746,0.249786764383,0.370254993439,0.14195021987,0.366777688265,0.451704591513,0.378609865904,0.270778268576,0.172034725547,0.243462309241,0.316991657019,0.422327280045,0.274758428335,0.262331783772,0.286249488592,0.392520338297,0.566984832287,0.166666671634
snakebot,0.300546556711,0.294559627771,0.381901830435,0.330238878727,0.317737340927,0.338513046503,0.322499901056,0.337348967791,0.251415014267,0.384890109301,0.440436571836,0.321752101183,0.330683767796,0.442648231983,0.253981411457,0.303576290607,0.399979799986,0.296463757753,0.328677713871,0.431012243032,0.482905894518,0.341962128878,0.288061141968,0.230046838522,0.419714987278,0.3738322258,0.329761087894,0.204955786467,0.393044680357,0.228893399239
tablebot,0.227351605892,0.120686933398,0.130143508315,0.325015127659,0.166140764952,0.264804065228,0.257380962372,0.0879489034414,0.32374677062,0.24024708569,0.0391514189541,0.235652312636,0.289751321077,0.320266187191,0.0818021371961,0.113200373948,0.158781722188,0.144315689802,0.117372728884,0.222574844956,0.165444880724,0.190440759063,0.258561491966,0.144256815314,0.300884097815,0.0557638220489,0.247943148017,0.234298557043,0.0797710642219,0.422905474901
starfishbot,0.261609971523,0.25759190321,0.252476394176,0.170103251934,0.0985677465796,0.11314266175,0.21178856492,0.164722323418,0.36612534523,0.0778017565608,0.177003085613,0.289824575186,0.268735438585,0.42655184865,0.17646612227,0.0298621952534,0.208753272891,0.355149120092,0.121491350234,0.14549960196,0.303206592798,0.154097214341,0.154408529401,0.214739590883,0.170302078128,0.233868047595,0.370981276035,0.197663471103,0.175136119127,0.110827751458
spherebot,0.432522177696,0.342650651932,0.399553596973,0.381129205227,0.473262369633,0.3125,0.371588468552,0.260994046926,0.313478529453,0.521381735802,0.499059200287,0.398039072752,0.504614770412,0.431878983974,0.393655240536,0.49016174674,0.467023074627,0.372396469116,0.487859398127,0.354129731655,0.357178837061,0.401036411524,0.509703040123,0.403094470501,0.459934026003,0.499267101288,0.324635952711,0.315647631884,0.309690415859,0.285992890596
crabbot,0.370773941278,0.269708782434,0.282914459705,0.163125649095,0.114931888878,0.404764413834,0.301054686308,0.280294805765,0.274636477232,0.21874062717,0.358449161053,0.406315624714,0.226694136858,0.317694395781,0.447858542204,0.41245380044,0.327706485987,0.305809557438,0.278810411692,0.378501266241,0.448868811131,0.197066098452,0.418935626745,0.251879483461,0.344727784395,0.524078905582,0.513188779354,0.374583095312,0.39629817009,0.269244343042
