trials,0,1,2,3,4,5,6,7,8,9
quadruped,0.518651604652,0.466555684805,0.497929483652,0.425749510527,0.500905096531,0.47459384799,0.530990183353,0.436173290014,0.4823602736,0.471267849207
branchbot,0.410047739744,0.464243799448,0.58668255806,0.450004160404,0.548220455647,0.559061646461,0.522593140602,0.415328592062,0.558349847794,0.515086650848
tablebot,0.42082887888,0.508538484573,0.455408126116,0.383664280176,0.487447500229,0.440760880709,0.403898507357,0.326903581619,0.524578809738,0.563510119915
starfishbot,0.208644479025,0.25961813728,0.162370132407,0.414916096131,0.273680863778,0.212632650137,0.273023718596,0.179622350136,0.186759346724,0.217160881559
