trials,0,1,2,3,4,5,6,7,8,9
stickbot,0.483554571867,0.465090334415,0.548635900021,0.535233736038,0.49648681283,0.434964627028,0.44714948535,0.456281006336,0.479207873344,0.49339428544
quadruped,0.466990947723,0.513695538044,0.439851999283,0.445086747408,0.469654709101,0.471744269133,0.487246960402,0.467269927263,0.583778500557,0.494498074055
branchbot,0.473809927702,0.464787691832,0.470585495234,0.518980264664,0.535187661648,0.402723371983,0.368162453175,0.504382431507,0.413192629814,0.560317158699
twigbot,0.486702024937,0.451691836119,0.543534696102,0.487211853266,0.531515002251,0.543216347694,0.457095146179,0.442275762558,0.556705117226,0.459973365068
treebot,0.463967591524,0.640991568565,0.605295419693,0.575976192951,0.553602874279,0.31253683567,0.496622800827,0.35728096962,0.526470422745,0.405175358057
snakebot,0.485817015171,0.498241364956,0.512273073196,0.476529657841,0.499267041683,0.428639173508,0.512411355972,0.465240269899,0.504304409027,0.486812323332
tablebot,0.506094753742,0.436109185219,0.391260176897,0.554114818573,0.493478298187,0.649585366249,0.611986994743,0.431194275618,0.493449777365,0.46130913496
starfishbot,0.474484115839,0.509650111198,0.551790714264,0.555555582047,0.468150407076,0.482109516859,0.495311021805,0.477334737778,0.387199670076,0.454954773188
spherebot,0.435418605804,0.526504635811,0.498460650444,0.429723441601,0.527150213718,0.541974544525,0.44834625721,0.510523080826,0.476807534695,0.518130064011
crabbot,0.577849090099,0.498682767153,0.36843675375,0.526565134525,0.521846055984,0.551805436611,0.45489063859,0.648881137371,0.537264704704,0.329260736704
