trials,0,1,2,3,4,5,6,7,8,9
quadruped,0.514164626598,0.555555582047,0.55617916584,0.527163505554,0.473925918341,0.499876528978,0.481664597988,0.427753448486,0.45453697443,0.49545070529
branchbot,0.435861170292,0.46391916275,0.479370117188,0.462727963924,0.465672016144,0.552376627922,0.496121287346,0.413379848003,0.487036257982,0.442576527596
tablebot,0.537439823151,0.538258135319,0.437141299248,0.424379736185,0.48557561636,0.613402485847,0.647135436535,0.402625143528,0.533186674118,0.506519436836
starfishbot,0.503210008144,0.49011823535,0.511450052261,0.491378575563,0.36003857851,0.404312729836,0.451195925474,0.337195396423,0.550828397274,0.468818992376
