trials,0,1,2,3,4,5,6,7,8,9
quadruped,0.421492666006,0.389985233545,0.395727545023,0.454050779343,0.489220768213,0.469544261694,0.398118883371,0.465340107679,0.415839672089,0.439093202353
branchbot,0.33343309164,0.300320088863,0.365657478571,0.41488930583,0.307817846537,0.378877460957,0.278698205948,0.31759211421,0.378673434258,0.346439599991
tablebot,0.234177798033,0.264874786139,0.207540899515,0.282385200262,0.294582873583,0.319989591837,0.286793857813,0.205283463001,0.334363013506,0.27119204402
starfishbot,0.123663994377,0.21435837547,0.150521389643,0.20313479801,0.204615270098,0.161488763491,0.17914622128,0.170618667205,0.12112827301,0.200898910562
