trials,0,1,2,3,4,5,6,7,8,9
stickbot,0.356361687183,0.443343609571,0.373271256685,0.444168537855,0.414697378874,0.406200379133,0.395602792501,0.493529200554,0.437214255333,0.480932414532
quadruped,0.279928833246,0.317781329155,0.328734755516,0.356255114079,0.351767152548,0.396406501532,0.366353332996,0.41556841135,0.411795675755,0.430848121643
branchbot,0.269731014967,0.284793198109,0.260445773602,0.356031149626,0.383118033409,0.409584671259,0.283883541822,0.271038353443,0.281454861164,0.349673867226
twigbot,0.249711021781,0.322708725929,0.400606095791,0.390475004911,0.417607903481,0.374711990356,0.389499843121,0.373695194721,0.340921521187,0.429184913635
treebot,0.237648963928,0.243581488729,0.318178534508,0.287415236235,0.253303080797,0.331453889608,0.182890638709,0.334031015635,0.294527828693,0.466479718685
snakebot,0.411492198706,0.455142855644,0.478040546179,0.459154754877,0.478578060865,0.444505959749,0.423334717751,0.447830408812,0.440755397081,0.49899610877
tablebot,0.296564877033,0.347440719604,0.360011279583,0.268684208393,0.29620796442,0.278271526098,0.33447688818,0.343687176704,0.320350378752,0.314767897129
starfishbot,0.213242784142,0.216442346573,0.229785189033,0.234472706914,0.311361730099,0.167958170176,0.203632444143,0.282846391201,0.281085819006,0.323882371187
spherebot,0.399782925844,0.377731829882,0.387535244226,0.450588166714,0.431742221117,0.343465387821,0.296329140663,0.452489972115,0.433506339788,0.414576053619
crabbot,0.289724171162,0.362551420927,0.316185057163,0.375662446022,0.343074798584,0.252763152122,0.242426142097,0.398516833782,0.35537725687,0.372346371412
