trials,0,1,2,3,4,5,6,7,8,9
stickbot,0.471423476934,0.446988582611,0.417221903801,0.462550997734,0.4911223948,0.432121753693,0.42580974102,0.480026692152,0.449822634459,0.486965000629
quadruped,0.459557205439,0.474289625883,0.459708422422,0.439446598291,0.482053875923,0.335330307484,0.400462239981,0.444484144449,0.383587658405,0.424765467644
branchbot,0.293885707855,0.315661370754,0.34432503581,0.300556778908,0.440178990364,0.281185567379,0.2899479568,0.378657072783,0.267510741949,0.332711935043
twigbot,0.461943417788,0.355199992657,0.344383835793,0.311108738184,0.393862307072,0.431378006935,0.371943503618,0.407978892326,0.357998728752,0.364129602909
treebot,0.293895959854,0.245612934232,0.2773450315,0.38670244813,0.315069764853,0.308340489864,0.308245122433,0.271484732628,0.31027418375,0.309281259775
snakebot,0.492381721735,0.469629973173,0.46111318469,0.498168349266,0.48437589407,0.445367157459,0.496262311935,0.434240549803,0.486466407776,0.488071680069
tablebot,0.202565059066,0.244936704636,0.249385729432,0.216448485851,0.397072285414,0.309406995773,0.338929265738,0.277118951082,0.117501780391,0.227594152093
starfishbot,0.11984872818,0.297544926405,0.367041796446,0.555555582047,0.299141347408,0.28980115056,0.198448389769,0.274466216564,0.231059655547,0.256717860699
spherebot,0.381825149059,0.398795217276,0.485562860966,0.406731665134,0.428356379271,0.419600248337,0.440006434917,0.381889134645,0.449964076281,0.412051439285
crabbot,0.380683302879,0.315154343843,0.383845120668,0.32230886817,0.3485930264,0.350412279367,0.331081032753,0.38922804594,0.385269165039,0.376912266016
