trials,0,1,2,3,4,5,6,7,8,9
quadruped,0.424104809761,0.555555582047,0.475097328424,0.428755640984,0.402187675238,0.477779626846,0.41886177659,0.430573016405,0.42086815834,0.442833602428
branchbot,0.383455365896,0.296843677759,0.34379953146,0.316270560026,0.281042933464,0.288401693106,0.53824198246,0.319018870592,0.236881256104,0.276682078838
tablebot,0.279659420252,0.27877959609,0.336330294609,0.28512597084,0.310032308102,0.230372846127,0.364631205797,0.311182022095,0.296975523233,0.290742874146
starfishbot,0.217377215624,0.233399495482,0.227855786681,0.255291342735,0.275669842958,0.265632390976,0.281910330057,0.247177571058,0.24204531312,0.389904946089
