trials,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
quadruped,0.400267601013,0.23616835475,0.406191766262,0.54029917717,0.448672503233,0.364826440811,0.27519223094,0.502437710762,0.567671179771,0.463870674372,0.45640283823,0.361185759306,0.422408133745,0.522148549557,0.478987872601,0.281537115574,0.417685776949,0.338379055262,0.435441941023,0.509095788002,0.423934578896,0.409823566675,0.544283330441,0.454199075699,0.497537493706,0.327996760607,0.433838993311,0.410811781883,0.391943782568,0.54634398222
branchbot,0.523240089417,0.381566375494,0.35559669137,0.281476318836,0.460487276316,0.253863185644,0.394411146641,0.321333795786,0.29910197854,0.346517890692,0.277366399765,0.3248462677,0.417293816805,0.215951994061,0.308816492558,0.398503810167,0.215223506093,0.285117924213,0.363262832165,0.213751897216,0.165342703462,0.473258882761,0.212029889226,0.370589137077,0.284694194794,0.393343538046,0.372046232224,0.421893507242,0.317462563515,0.526162326336
treebot,0.15017978847,0.195845529437,0.251892000437,0.464739501476,0.384801924229,0.28140515089,0.224933177233,0.277980595827,0.32204785943,0.248052448034,0.42854359746,0.160759299994,0.145431920886,0.260950356722,0.34984588623,0.323177963495,0.443058490753,0.293970644474,0.402828454971,0.142857149243,0.314706265926,0.18567751348,0.286830037832,0.278617888689,0.195188745856,0.447074204683,0.184700533748,0.489137262106,0.253521502018,0.258127182722
snakebot,0.395298063755,0.332924693823,0.333148658276,0.444273531437,0.447206646204,0.334431707859,0.321601390839,0.367403835058,0.315722078085,0.458752572536,0.247345104814,0.44604870677,0.425240039825,0.414805948734,0.290711671114,0.281918674707,0.365515649319,0.401861041784,0.369394361973,0.142857149243,0.306363850832,0.287124276161,0.424398183823,0.418686002493,0.407692044973,0.252915978432,0.20281432569,0.412411212921,0.263836592436,0.267725259066
tablebot,0.0112977502868,0.115796521306,0.172325819731,0.258176773787,0.0706579908729,0.164776936173,0.395246237516,0.234378427267,0.155644312501,0.233296066523,0.129881978035,0.168000116944,0.176801040769,0.150229766965,0.179498746991,0.0481667779386,0.346133768559,0.128761321306,0.0286651533097,0.19120170176,0.331507563591,0.394444584846,0.302461415529,0.445500969887,0.0971704050899,0.380745053291,0.152661457658,0.125342309475,0.0291981492192,0.061535011977
starfishbot,0.0787513777614,0.093087144196,0.198796913028,0.111360676587,0.0509661361575,0.190036058426,0.0773067474365,0.140340909362,0.217579528689,0.016629235819,0.125420615077,0.180151194334,0.469488620758,0.144822597504,0.397249519825,0.0946372151375,0.270149558783,0.129209399223,0.0614564158022,0.262034058571,0.199043169618,0.200749397278,0.191037371755,0.0481232702732,0.114247716963,0.347206801176,0.228718176484,0.178117766976,0.139777183533,0.0686298087239
spherebot,0.466745704412,0.45730394125,0.405317366123,0.328013420105,0.443488806486,0.455509603024,0.41683986783,0.487517148256,0.447796106339,0.445779472589,0.425059974194,0.308932483196,0.406793445349,0.394946306944,0.507258057594,0.480061322451,0.341482907534,0.42462810874,0.400603830814,0.396654814482,0.342366665602,0.407971888781,0.321260631084,0.461380839348,0.535368204117,0.350469827652,0.550193607807,0.389885574579,0.469742417336,0.518738687038
crabbot,0.308719784021,0.321220725775,0.291873037815,0.350232452154,0.354631483555,0.156705871224,0.269356042147,0.333382040262,0.399250358343,0.383821457624,0.185515299439,0.134252011776,0.245938107371,0.352039813995,0.295857638121,0.428571432829,0.343981325626,0.205119818449,0.166605114937,0.12917290628,0.273891240358,0.199765756726,0.339519172907,0.244471132755,0.248270407319,0.449033588171,0.168804302812,0.347466379404,0.0602355711162,0.262983947992
