trials,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
quadruped,0.421360075474,0.245207771659,0.401672154665,0.51881724596,0.488405555487,0.363819777966,0.220372840762,0.498211145401,0.537081897259,0.456336051226,0.411121189594,0.349620312452,0.403708040714,0.520807087421,0.47184446454,0.302238792181,0.405206829309,0.327324897051,0.441175609827,0.53927308321,0.418042302132,0.405752271414,0.532175242901,0.364510059357,0.475345611572,0.291656166315,0.4145167768,0.371694236994,0.361137777567,0.551313221455
branchbot,0.441301822662,0.398395508528,0.408052295446,0.281578719616,0.477039963007,0.288277208805,0.306293904781,0.317770302296,0.299472004175,0.320359319448,0.289033353329,0.286570698023,0.435333579779,0.213106617332,0.302132040262,0.345223933458,0.201392412186,0.266723543406,0.349866598845,0.22755010426,0.141153514385,0.39188221097,0.179944336414,0.352847963572,0.291136354208,0.365516632795,0.370891541243,0.452969282866,0.272285670042,0.540099799633
treebot,0.198202162981,0.236798003316,0.311300784349,0.408643275499,0.378187805414,0.270017564297,0.232803270221,0.298799902201,0.303339958191,0.307530552149,0.403741598129,0.124677598476,0.196224659681,0.261992126703,0.328309059143,0.289421796799,0.462554782629,0.320947021246,0.454005092382,0.142857149243,0.334207564592,0.247650340199,0.34709456563,0.270335882902,0.220204785466,0.467954009771,0.180185869336,0.526495754719,0.268281400204,0.252218097448
snakebot,0.414847105742,0.422421693802,0.493121773005,0.454053193331,0.572716414928,0.409697562456,0.396954208612,0.378117620945,0.433164358139,0.442428797483,0.352922230959,0.564951002598,0.303410440683,0.349880158901,0.314326912165,0.357643693686,0.384413510561,0.467894971371,0.425584256649,0.237463369966,0.475563794374,0.463463455439,0.504039764404,0.517162501812,0.307998210192,0.29239782691,0.370752334595,0.474691778421,0.341027230024,0.385130792856
tablebot,0.0657791122794,0.137829691172,0.171857908368,0.38081741333,0.116475068033,0.244894847274,0.383143991232,0.28165525198,0.150517463684,0.290023237467,0.166444852948,0.203604385257,0.202098682523,0.157618254423,0.228939548135,0.113344721496,0.411821216345,0.135645732284,0.0338957644999,0.135575383902,0.333031445742,0.482766509056,0.352711081505,0.299085646868,0.202038243413,0.288509339094,0.330884069204,0.190608218312,0.0866094455123,0.0541582964361
starfishbot,0.0766953602433,0.0727561041713,0.174294501543,0.115560553968,0.0539720319211,0.135594084859,0.0468606762588,0.0603106431663,0.360309809446,0.132378056645,0.102569632232,0.175729125738,0.40984839201,0.164380475879,0.398349285126,0.22044120729,0.268097430468,0.136086598039,0.0619868114591,0.237494543195,0.167475521564,0.205027535558,0.162734702229,0.0173173844814,0.0889663696289,0.489466458559,0.337222605944,0.219598338008,0.298445552588,0.0782103911042
spherebot,0.474898278713,0.454439938068,0.413825958967,0.329142510891,0.440124243498,0.447549670935,0.416246414185,0.492674797773,0.445819705725,0.442386418581,0.450926154852,0.30665063858,0.406302928925,0.405587524176,0.505075931549,0.476680487394,0.344964087009,0.426135390997,0.395295798779,0.397971689701,0.343343824148,0.407644122839,0.323555916548,0.456435352564,0.529786467552,0.348668903112,0.552778482437,0.389609128237,0.466010689735,0.510061919689
crabbot,0.291741997004,0.26037350297,0.289976209402,0.339866608381,0.332161277533,0.163740381598,0.274456888437,0.314127832651,0.387684285641,0.32372623682,0.209197551012,0.111295096576,0.216342702508,0.349408209324,0.28186070919,0.428571432829,0.353062391281,0.184359669685,0.157513529062,0.112933710217,0.274511605501,0.186802923679,0.299272686243,0.209845423698,0.240617796779,0.443820595741,0.15761949122,0.350079059601,0.064938865602,0.241991296411
