trials,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
quadruped,0.422410070896,0.369213104248,0.664722621441,0.481149405241,0.440560877323,0.629006803036,0.376381725073,0.43565300107,0.586589276791,0.444995671511,0.54948335886,0.541910707951,0.542150080204,0.492772191763,0.621506214142,0.415409237146,0.560355365276,0.50567907095,0.440278470516,0.510953843594,0.423934578896,0.515222370625,0.544283330441,0.432103872299,0.497537493706,0.327996760607,0.520163476467,0.514479339123,0.492101043463,0.462674230337
branchbot,0.725847542286,0.34602445364,0.388747543097,0.573286175728,0.628383517265,0.457878619432,0.394411146641,0.529744386673,0.494783341885,0.508588969707,0.505249142647,0.607988238335,0.622409701347,0.418131291866,0.471592903137,0.619225800037,0.446283608675,0.421774864197,0.387923389673,0.335601478815,0.558694899082,0.478790998459,0.368558973074,0.419871896505,0.470789790154,0.374780863523,0.360371112823,0.662334740162,0.480946630239,0.564890563488
treebot,0.622144877911,0.56025493145,0.281669735909,0.611059069633,0.42267113924,0.602026283741,0.621485173702,0.450716018677,0.380917936563,0.512385547161,0.428543567657,0.41805267334,0.319870620966,0.325975835323,0.392673164606,0.469203770161,0.666470825672,0.665708422661,0.474825233221,0.39026376605,0.568204581738,0.481234580278,0.403097063303,0.615724980831,0.395233243704,0.447074204683,0.184700533748,0.57258951664,0.822765886784,0.610801994801
snakebot,0.432093292475,0.30938154459,0.321068584919,0.590958416462,0.592702031136,0.65940028429,0.53010815382,0.317800313234,0.635995328426,0.618968427181,0.419423520565,0.505008637905,0.378222197294,0.422723829746,0.530328810215,0.359333455563,0.416799098253,0.495227843523,0.329417705536,0.142857149243,0.340429902077,0.287124276161,0.492209345102,0.531425058842,0.352872699499,0.534049868584,0.605578839779,0.523576438427,0.492051720619,0.617215454578
tablebot,0.5626283288,0.329965859652,0.597648501396,0.541266679764,0.502880513668,0.563319385052,0.353056848049,0.43872448802,0.428554952145,0.643577873707,0.415426105261,0.30744805932,0.72082555294,0.602647125721,0.391929835081,0.555256664753,0.571345627308,0.586350977421,0.543138682842,0.662650883198,0.52751147747,0.643373012543,0.597605168819,0.44121658802,0.343823045492,0.542463600636,0.211292728782,0.449840635061,0.305449813604,0.37151029706
starfishbot,0.560867846012,0.263670116663,0.502328813076,0.757407128811,0.584080398083,0.329751163721,0.609465479851,0.613197445869,0.217579528689,0.294188976288,0.809145510197,0.42777094245,0.472967147827,0.405597478151,0.469653874636,0.374738007784,0.737841725349,0.371975153685,0.289052277803,0.395430237055,0.554637849331,0.200749397278,0.191037371755,0.951876699924,0.331129401922,0.315728992224,0.490269064903,0.44496718049,0.139777183533,0.648237943649
spherebot,0.616329610348,0.523977160454,0.552388012409,0.328013420105,0.582390367985,0.520847022533,0.563789904118,0.487517148256,0.446259498596,0.461552768946,0.417917400599,0.46157759428,0.615755200386,0.47352579236,0.507258057594,0.548055648804,0.483449190855,0.544843733311,0.57409375906,0.396654814482,0.512677192688,0.403749704361,0.490151971579,0.457803875208,0.537967085838,0.528696477413,0.545867741108,0.426082462072,0.468137770891,0.538700520992
crabbot,0.547994792461,0.512030899525,0.470578879118,0.577363789082,0.352314412594,0.414722681046,0.446613162756,0.333382040262,0.541660428047,0.533929288387,0.528213083744,0.76997679472,0.251272797585,0.564617276192,0.730712294579,0.428571432829,0.528327345848,0.476649135351,0.463980615139,0.27045288682,0.717930972576,0.199765756726,0.452718257904,0.518643498421,0.248270407319,0.735806643963,0.578430294991,0.568182766438,0.323261171579,0.480479627848
