trials,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29
quadruped,0.517804861069,0.485167473555,0.428630530834,0.471596449614,0.560265362263,0.410387605429,0.503650248051,0.408270806074,0.589767754078,0.471670776606,0.531332850456,0.605937123299,0.419484347105,0.334985673428,0.41891092062,0.535770833492,0.553994059563,0.529998719692,0.437738418579,0.488800287247,0.485447436571,0.491872549057,0.408747494221,0.416931688786,0.445175021887,0.430297940969,0.380420893431,0.534365057945,0.463644981384,0.497366935015
branchbot,0.596155762672,0.491554170847,0.490791201591,0.501647651196,0.527229964733,0.644839465618,0.459682583809,0.38039213419,0.469825804234,0.677190482616,0.584288179874,0.584298253059,0.320312082767,0.654073178768,0.412273079157,0.516659736633,0.590737760067,0.553095698357,0.585046291351,0.477877140045,0.236263871193,0.670591771603,0.449276119471,0.528966367245,0.352936416864,0.319336920977,0.589944958687,0.857142865658,0.408340930939,0.520277738571
treebot,0.359474986792,0.568554282188,0.550790309906,0.509813249111,0.316641539335,0.501893103123,0.465153634548,0.562284827232,0.400687634945,0.43416684866,0.613215982914,0.504577517509,0.368584722281,0.497767239809,0.471115738153,0.593679428101,0.580266535282,0.48414465785,0.446719318628,0.257037848234,0.428202003241,0.454648822546,0.554678738117,0.373299092054,0.472552865744,0.368578523397,0.463657140732,0.530362427235,0.566984832287,0.166666671634
snakebot,0.388281047344,0.266455352306,0.474241733551,0.475488126278,0.455672711134,0.568111777306,0.516351163387,0.573105990887,0.709519267082,0.422012478113,0.680804789066,0.428802788258,0.654610455036,0.356009423733,0.416151195765,0.406699866056,0.443095356226,0.50949203968,0.301284581423,0.469705581665,0.482905894518,0.487296372652,0.260212421417,0.414112240076,0.452543437481,0.563301444054,0.620892524719,0.289758145809,0.348181456327,0.427997112274
tablebot,0.386236190796,0.170666471124,0.384455531836,0.582780897617,0.614525437355,0.391671389341,0.257380962372,0.484042465687,0.529651224613,0.21377556026,0.536717772484,0.500811874866,0.481089681387,0.433033466339,0.20391215384,0.463542312384,0.438574165106,0.299224406481,0.62125402689,0.759706377983,0.702118873596,0.297918647528,0.426074951887,0.144256815314,0.536589801311,0.294783532619,0.412912160158,0.250336527824,0.593660056591,0.578224003315
starfishbot,0.575095772743,0.361862063408,0.365196794271,0.49101793766,0.567745566368,0.140649914742,0.513883590698,0.409109592438,0.535499095917,0.501269698143,0.373897373676,0.42750442028,0.29336938262,0.472672939301,0.378813952208,0.300626277924,0.399068683386,0.355149120092,0.207611963153,0.53012573719,0.514935851097,0.154097214341,0.65105009079,0.470174700022,0.312934011221,0.377652317286,0.302845060825,0.694845736027,0.517014622688,0.746315121651
spherebot,0.569679439068,0.473502159119,0.399906605482,0.386834263802,0.470157444477,0.3125,0.516823649406,0.478620737791,0.312967926264,0.502864480019,0.475147515535,0.390765875578,0.501663565636,0.425776034594,0.361342728138,0.48910883069,0.501280903816,0.532294750214,0.43482747674,0.399794757366,0.591338992119,0.429824620485,0.580528914928,0.401282846928,0.459934026003,0.495474398136,0.523255228996,0.315647631884,0.305686146021,0.438450843096
crabbot,0.586924016476,0.278574347496,0.590231895447,0.627302706242,0.488912135363,0.522735118866,0.605503499508,0.451475799084,0.648352622986,0.692372024059,0.526883304119,0.492072045803,0.398939549923,0.464280158281,0.600849807262,0.53784507513,0.492982178926,0.648762226105,0.47589430213,0.686498522758,0.515578567982,0.564786851406,0.217901602387,0.361383587122,0.551340818405,0.343056350946,0.300922840834,0.589254438877,0.39629817009,0.613913357258
