trials,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
treebot,0.279242604971,0.2266471982,0.542837560177,0.287305355072,0.345990568399,0.328791975975,0.243516713381,0.301866084337,0.217356055975,0.145039454103,0.282144457102,0.41278257966,0.290298551321,0.209001541138,0.335977256298,0.33049505949,0.339240372181,0.250064909458,0.409202009439,0.158755347133,0.229398176074,0.428283154964,0.359694093466,0.174312993884,0.229939892888,0.306345105171,0.481804192066,0.3291477561,0.433012098074,0.247609138489
snakebot,0.443355381489,0.301533430815,0.316581457853,0.311146914959,0.280371725559,0.320835351944,0.403983384371,0.324529260397,0.249754711986,0.233988538384,0.249362900853,0.386066943407,0.165624573827,0.325797855854,0.416339874268,0.418024867773,0.351619929075,0.23502150178,0.292243182659,0.296508014202,0.323582977057,0.231284350157,0.351678520441,0.390263080597,0.455163657665,0.416607141495,0.406567186117,0.281313896179,0.293529897928,0.341400802135
tablebot,0.161974281073,0.262998610735,0.169272050261,0.203694999218,0.249792188406,0.255193173885,0.185187339783,0.13727337122,0.144098669291,0.246900603175,0.242844924331,0.158839181066,0.207891851664,0.178619533777,0.298296272755,0.167234227061,0.273053437471,0.179520308971,0.308385372162,0.130671143532,0.175836235285,0.207764267921,0.203965976834,0.108863726258,0.281987339258,0.239838123322,0.224491357803,0.224330335855,0.172083884478,0.321386039257
starfishbot,0.106425531209,0.265285372734,0.324992835522,0.206827387214,0.103500954807,0.155325993896,0.0667974278331,0.19944639504,0.243996441364,0.156965628266,0.144841134548,0.257390201092,0.23333722353,0.209323897958,0.0900243073702,0.27634704113,0.454545468092,0.241708502173,0.0915949568152,0.192117080092,0.167985096574,0.175758749247,0.136905252934,0.205547422171,0.175435572863,0.158590763807,0.0655477568507,0.0482146032155,0.147763088346,0.0877089053392
